These results were downloaded and refreshed on October   22, 2019 at 12:26 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 22 octobre 2019 à 12h26 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
10001	Avalon	Avalon	preliminary	préliminaires	Chapman		Matthew	Conservative	Conservateur	12538	31	0	40457
10001	Avalon	Avalon	preliminary	préliminaires	Malone		Greg	Green Party	Parti Vert	2172	5.4	0	40457
10001	Avalon	Avalon	preliminary	préliminaires	McDonald		Kenneth	Liberal	Libéral	18646	46.1	0	40457
10001	Avalon	Avalon	preliminary	préliminaires	Movelle		Lea Mary	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	7101	17.6	0	40457
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	preliminary	préliminaires	Cooper		Matthew	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3855	12	0	32173
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	preliminary	préliminaires	Reichel		Kelsey	Green Party	Parti Vert	920	2.9	0	32173
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	preliminary	préliminaires	Rogers		Churence	Liberal	Libéral	14701	45.7	0	32173
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	preliminary	préliminaires	Vokey		Sharon	Conservative	Conservateur	12697	39.5	0	32173
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	preliminary	préliminaires	Bracci		Alex	Conservative	Conservateur	11695	35.5	0	32924
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	preliminary	préliminaires	Joe		Noel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4058	12.3	0	32924
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	preliminary	préliminaires	Simms		Scott	Liberal	Libéral	15861	48.2	0	32924
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	preliminary	préliminaires	White		Byron	Green Party	Parti Vert	1310	4	0	32924
10004	Labrador	Labrador	preliminary	préliminaires	Colbourne		Tyler	Green Party	Parti Vert	224	2	0	11389
10004	Labrador	Labrador	preliminary	préliminaires	Flemming		Larry	Conservative	Conservateur	3548	31.2	0	11389
10004	Labrador	Labrador	preliminary	préliminaires	Gray		Michelene	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2796	24.6	0	11389
10004	Labrador	Labrador	preliminary	préliminaires	Jones		Yvonne	Liberal	Libéral	4821	42.3	0	11389
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Eisses		Josh	Conservative	Conservateur	10874	28.3	0	38385
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Hutchings		Gudie	Liberal	Libéral	18182	47.4	0	38385
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Knill		Lucas	Green Party	Parti Vert	1326	3.5	0	38385
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Miles		Robert	VCP	CAC	409	1.1	0	38385
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Pike		Holly	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	7594	19.8	0	38385
