The Report of Candidates Who Received the Most Votes on Election Night was downloaded on October 23, 2019 at 15:11 ET.
Province/territory	Electoral district	Candidate who received the most votes	Political affiliation	Number of votes cast	Candidate who received the second-most votes	Political affiliation	Number of votes cast	Total number of valid votes cast in the electoral district	Variance between first and second place (number of votes)	Variance (percentage)	Status of results (preliminary or validated)	Judicial recount requested or automatic	
Newfoundland and Labrador	Avalon	Kenneth McDonald	Liberal	18,646	Matthew Chapman	Conservative	12,538	40,457	6,108	15.1 %	Preliminary results	No	
Newfoundland and Labrador	Bonavista--Burin--Trinity	Churence Rogers	Liberal	14,701	Sharon Vokey	Conservative	12,697	32,173	2,004	6.23 %	Preliminary results	No	
Newfoundland and Labrador	Coast of Bays--Central--Notre Dame	Scott Simms	Liberal	15,861	Alex Bracci	Conservative	11,695	32,924	4,166	12.65 %	Preliminary results	No	
Newfoundland and Labrador	Labrador	Yvonne Jones	Liberal	4,821	Larry Flemming	Conservative	3,548	11,389	1,273	11.18 %	Preliminary results	No	
Newfoundland and Labrador	Long Range Mountains	Gudie Hutchings	Liberal	18,182	Josh Eisses	Conservative	10,874	38,385	7,308	19.04 %	Preliminary results	No	
Newfoundland and Labrador	St. John's East	Jack Harris	NDP-New Democratic Party	21,164	Nick Whalen	Liberal	14,961	45,130	6,203	13.74 %	Preliminary results	No	
Newfoundland and Labrador	St. John's South--Mount Pearl	Seamus O'Regan	Liberal	20,094	Anne Marie Anonsen	NDP-New Democratic Party	10,703	39,514	9,391	23.77 %	Preliminary results	No	
Prince Edward Island	Cardigan	Lawrence MacAulay	Liberal	10,687	Wayne Phelan	Conservative	6,303	21,697	4,384	20.21 %	Preliminary results	No	
Prince Edward Island	Charlottetown	Sean Casey	Liberal	8,509	Darcie Lanthier	Green Party	4,458	19,252	4,051	21.04 %	Preliminary results	No	
Prince Edward Island	Egmont	Bobby Morrissey	Liberal	7,513	Logan McLellan	Conservative	6,616	19,058	897	4.71 %	Preliminary results	No	
Prince Edward Island	Malpeque	Wayne Easter	Liberal	9,533	Anna Keenan	Green Party	6,103	23,030	3,430	14.89 %	Preliminary results	No	
Nova Scotia	Cape Breton--Canso	Mike Kelloway	Liberal	16,097	Alfie MacLeod	Conservative	14,478	41,857	1,619	3.87 %	Preliminary results	No	
Nova Scotia	Central Nova	Sean Fraser	Liberal	20,718	George Canyon	Conservative	13,201	44,559	7,517	16.87 %	Preliminary results	No	
Nova Scotia	Cumberland--Colchester	Lenore Zann	Liberal	16,672	Scott Armstrong	Conservative	16,219	45,450	453	1.0 %	Preliminary results	No	
Nova Scotia	Dartmouth--Cole Harbour	Darren Fisher	Liberal	23,751	Emma Norton	NDP-New Democratic Party	14,220	52,585	9,531	18.12 %	Preliminary results	No	
Nova Scotia	Halifax	Andy Fillmore	Liberal	23,088	Christine Saulnier	NDP-New Democratic Party	16,594	54,489	6,494	11.92 %	Preliminary results	No	
Nova Scotia	Halifax West	Geoff Regan	Liberal	26,884	Fred Shuman	Conservative	10,488	54,356	16,396	30.16 %	Preliminary results	No	
Nova Scotia	Kings--Hants	Kody Blois	Liberal	20,807	Martha MacQuarrie	Conservative	11,905	48,035	8,902	18.53 %	Preliminary results	No	
Nova Scotia	Sackville--Preston--Chezzetcook	Darrell Samson	Liberal	19,925	Matt Stickland	NDP-New Democratic Party	11,860	49,537	8,065	16.28 %	Validated results	No	
